Line list produced by PGOPHER 11.0.138 10 Dec 2020 18:41  64 bit (fpc 3.3.1 x86_64-Darwin),11000138
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
I(DOH)-,Excited,5,A,3,Ground,6,A,4,3634.20720206259,6.14746609386962E-11,3706.11647333896,71.9092712763706,0.000185367367869697,0.761014773018849,0,"pP2,5(6)",Excited Free OH  5  1  4 - Ground v=0  6  2  5
I(DOH)-,Excited,4,A,2,Ground,5,A,5,3634.30628810957,6.39285345480037E-11,3705.20464550538,70.8983573958062,0.000166672767779442,0.836392538553525,0,"pP2,3(5)",Excited Free OH  4  1  4 - Ground v=0  5  2  3
I(DOH)-,Excited,4,A,3,Ground,5,A,4,3634.34668760545,6.39833052999029E-11,3705.24503190776,70.8983443023088,0.00016681525036367,0.837135457152303,0,"pP2,4(5)",Excited Free OH  4  1  3 - Ground v=0  5  2  4
I(DOH)-,Excited,3,A,2,Ground,4,A,5,3634.46773560665,6.44523952166592E-11,3704.52364580387,70.0559101972151,0.000148856706469203,0.96054176845174,0,"pP2,2(4)",Excited Free OH  3  1  3 - Ground v=0  4  2  2
I(DOH)-,Excited,3,A,3,Ground,4,A,4,3634.49197305986,6.44854958056997E-11,3704.54787764557,70.0559045857157,0.000148933034038309,0.961053521483219,0,"pP2,3(4)",Excited Free OH  3  1  2 - Ground v=0  4  2  3
I(DOH)-,Excited,2,A,2,Ground,3,A,5,3634.6309410676,6.3138876312647E-11,3704.01289537644,69.3819543088411,0.000132346928416274,1.19577165749791,0,"pP2,1(3)",Excited Free OH  2  1  2 - Ground v=0  3  2  1
I(DOH)-,Excited,2,A,3,Ground,3,A,4,3634.64305885899,6.31550769080235E-11,3704.02501129733,69.3819524383412,0.00013238085125,1.19609011784514,0,"pP2,2(3)",Excited Free OH  2  1  1 - Ground v=0  3  2  2
I(DOH)-,Excited,1,A,2,Ground,2,A,5,3634.79590629762,6.11220257696611E-11,3703.6723947813,68.8764884836853,0.000119132589274437,1.79420826280654,0,"pP2,0(2)",Excited Free OH  1  1  1 - Ground v=0  2  2  0
I(DOH)-,Excited,1,A,3,Ground,2,A,4,3634.79994531202,6.11272503827627E-11,3703.6764334216,68.8764881095853,0.000119142766125,1.79436751401465,0,"pP2,1(2)",Excited Free OH  1  1  0 - Ground v=0  2  2  1
I(DOH)-,Excited,2,A,2,Ground,2,A,4,3635.13640726685,3.39595835459793E-11,3704.01289537644,68.8764881095853,0.000066190425625,0.59828861898272,0,"pQ2,1(2)",Excited Free OH  2  1  2 - Ground v=0  2  2  1
I(DOH)-,Excited,3,A,2,Ground,3,A,4,3635.14169336553,5.52555991151597E-11,3704.52364580387,69.3819524383412,0.000115822568909963,0.747795108338689,0,"pQ2,2(3)",Excited Free OH  3  1  3 - Ground v=0  3  2  2
I(DOH)-,Excited,2,A,3,Ground,2,A,5,3635.14852281365,3.39682839230323E-11,3704.02501129733,68.8764884836853,0.0000662073870426054,0.598447915197005,0,"pQ2,0(2)",Excited Free OH  2  1  1 - Ground v=0  2  2  0
I(DOH)-,Excited,4,A,2,Ground,4,A,4,3635.14874091966,6.96272198036112E-11,3705.20464550538,70.0559045857157,0.000160808147125814,0.807524171940484,0,"pQ2,3(4)",Excited Free OH  4  1  4 - Ground v=0  4  2  3
I(DOH)-,Excited,5,A,2,Ground,5,A,4,3635.15754943457,7.81657863307076E-11,3706.05589373688,70.8983443023088,0.000203791366443364,0.837309938013593,0,"pQ2,4(5)",Excited Free OH  5  1  5 - Ground v=0  5  2  4
I(DOH)-,Excited,3,A,3,Ground,3,A,5,3635.16592333673,5.52839042054628E-11,3704.54787764557,69.3819543088411,0.00011588193106609,0.748193334287068,0,"pQ2,1(3)",Excited Free OH  3  1  2 - Ground v=0  3  2  1
I(DOH)-,Excited,6,A,2,Ground,6,A,4,3635.16811829223,8.14879111084733E-11,3707.0773895686,71.9092712763706,0.000245714240058042,0.854247883792492,0,"pQ2,5(6)",Excited Free OH  6  1  6 - Ground v=0  6  2  5
I(DOH)-,Excited,7,A,2,Ground,7,A,4,3635.18044675148,8.0324259527908E-11,3708.26913188528,73.0886851338011,0.000286998669789914,0.864748826102761,0,"pQ2,6(7)",Excited Free OH  7  1  7 - Ground v=0  7  2  6
